timestamp_local,millis,enc
2020-03-29 20:56:52.107568,11, 0
2020-03-29 20:56:52.119764,22, 0
2020-03-29 20:56:52.131826,33, 0
2020-03-29 20:56:52.140202,44, 0
2020-03-29 20:56:52.152923,55, 0
2020-03-29 20:56:52.165005,66, 0
2020-03-29 20:56:52.173507,77, 0
2020-03-29 20:56:52.185613,88, 0
2020-03-29 20:56:52.197659,99, 0
2020-03-29 20:56:52.206492,110, 0
2020-03-29 20:56:52.218388,121, 0
2020-03-29 20:56:52.230577,132, 0
2020-03-29 20:56:52.239389,143, 0
2020-03-29 20:56:52.251028,154, 0
2020-03-29 20:56:52.263445,165, 0
2020-03-29 20:56:52.271709,176, 0
2020-03-29 20:56:52.283778,187, 0
2020-03-29 20:56:52.296152,198, 0
2020-03-29 20:56:52.308276,209, 0
2020-03-29 20:56:52.316534,220, 0
2020-03-29 20:56:52.329139,231, 0
2020-03-29 20:56:52.341085,242, 0
2020-03-29 20:56:52.349307,253, 0
2020-03-29 20:56:52.361742,264, 0
2020-03-29 20:56:52.373812,275, 0
2020-03-29 20:56:52.382075,286, 0
2020-03-29 20:56:52.394493,297, 0
2020-03-29 20:56:52.406567,308, 0
2020-03-29 20:56:52.414854,319, 0
2020-03-29 20:56:52.427364,330, 0
2020-03-29 20:56:52.439451,342, 0
2020-03-29 20:56:52.451869,353, 0
2020-03-29 20:56:52.460167,364, 0
2020-03-29 20:56:52.472184,375, 0
2020-03-29 20:56:52.484526,386, 0
2020-03-29 20:56:52.492941,397, 0
2020-03-29 20:56:52.504957,408, 0
2020-03-29 20:56:52.517397,419, 0
2020-03-29 20:56:52.525619,430, 0
2020-03-29 20:56:52.537767,441, 0
2020-03-29 20:56:52.550094,452, 0
2020-03-29 20:56:52.562403,463, 0
2020-03-29 20:56:52.570488,474, 0
2020-03-29 20:56:52.583068,485, 0
2020-03-29 20:56:52.595130,496, 0
2020-03-29 20:56:52.603259,507, 0
2020-03-29 20:56:52.615667,518, 0
2020-03-29 20:56:52.627918,529, 0
2020-03-29 20:56:52.636015,540, 0
2020-03-29 20:56:52.648425,551, 0
2020-03-29 20:56:52.660587,562, 0
2020-03-29 20:56:52.668823,573, 0
2020-03-29 20:56:52.681345,584, 0
